,cep,A,B,C,D,E
199,58087150,0,0,0,0,5
200,97400000,0,0,0,0,15
201,66815870,0,0,0,0,4
202,39830000,0,0,0,0,80
203,3661010,0,0,0,0,4
204,21330600,0,0,0,0,9
205,89023240,0,0,0,0,5
206,11808828,0,0,0,0,4
207,45940000,0,0,0,0,66
208,96600000,0,0,0,0,297
209,85909400,0,0,0,5,297
210,55158750,0,0,0,0,6
211,85884000,0,0,0,0,157
212,44718000,0,0,0,0,120
213,13490000,0,0,0,0,64
214,11950000,0,0,0,57,64
215,40255020,0,0,0,0,10
216,60060188,0,0,0,0,10
217,9971040,0,0,0,0,6
218,13992911,0,0,0,0,4
219,11015540,0,0,0,0,9
220,34772034,0,0,0,0,5
221,69600000,0,0,0,0,197
222,49520000,0,0,0,0,118
223,55375000,0,0,0,0,131
224,12460000,0,0,0,0,268
225,18460000,0,0,0,0,236
226,68180190,0,0,0,0,9
227,79736633,0,0,0,0,4
228,68140000,0,0,0,0,250
229,10544416,0,0,0,5,250
230,29330000,0,0,0,0,58
231,9960440,0,0,0,0,7
232,69730000,0,0,0,0,80
233,62370000,0,0,0,0,793
234,77490649,0,0,0,0,4
235,49700000,0,0,0,0,63
236,64655000,0,0,0,0,183
237,37478000,0,0,0,0,98
238,5044900,0,0,0,0,5
239,22775045,0,0,0,6,5
240,58337000,0,0,0,22,5
241,81250000,0,0,0,0,5
242,59830000,0,0,0,0,138
243,54735225,0,0,0,0,5
244,68585000,0,0,0,0,76
245,59227940,0,0,0,0,4
246,13790000,0,0,0,0,40
247,40240680,0,0,0,0,6
248,46930000,0,0,0,0,146
249,75920000,0,0,0,0,197
250,4787000,0,0,0,0,5
251,54800000,0,0,0,0,296
252,49531573,0,0,0,0,4
253,49600000,0,0,0,0,121
254,24890000,0,0,0,0,88
255,27700000,0,0,0,0,108
256,39529000,0,0,0,0,116
257,39850000,0,0,0,0,188
258,48850000,0,0,0,0,137
259,8690105,0,0,0,0,10
260,86183660,0,0,0,0,5
261,103,8,0,0,0,5
262,25900000,0,0,0,63,5
263,89259008,0,0,0,0,5
264,56203071,0,0,0,0,4
265,59520000,0,0,0,0,39
266,54240040,0,0,0,0,5
267,6280055,0,0,0,0,4
268,1425010,0,0,0,0,5
269,13327394,0,0,0,0,6
270,83203550,0,0,0,0,3
271,62010120,0,0,4,0,3
272,16848657,0,0,0,0,3
273,35167000,0,0,0,0,49
274,13179022,0,0,0,0,3
275,5570100,0,0,0,0,4
276,68440000,0,0,0,0,768
277,17690000,0,0,0,0,104
278,17512153,0,0,0,0,3
279,58900000,0,0,0,0,250
280,48500000,0,0,0,0,406
281,38073149,0,0,0,0,3
282,85875000,0,0,0,0,33
283,SP,1600,0,0,0,33
284,13026137,3,0,0,0,33
285,5756370,3,0,0,0,33
286,12223220,0,0,0,0,4
287,78556172,0,0,0,0,3
288,17051428,0,0,0,3,3
289,74125070,0,0,0,0,4
290,68501380,0,0,0,0,6
291,36580000,0,0,0,0,127
292,11065600,0,0,0,0,8
293,25015331,0,0,0,0,5
294,9961132,0,0,0,0,3
295,63260000,0,0,0,0,429
296,53580703,0,0,0,0,3
297,6112140,0,0,0,0,4
298,21620550,0,0,0,0,5
299,41350280,0,0,0,0,6
300,35114000,0,0,0,0,19
301,56210000,0,0,0,0,172
302,36930000,0,0,0,0,47
303,78725200,0,0,0,0,3
304,99500000,0,0,30,0,73
305,9581120,0,0,0,0,7
306,64600000,0,0,0,0,414
307,59360000,0,0,0,0,112
308,36140000,0,0,0,0,125
309,84185000,0,0,0,4,125
310,11345040,0,0,0,0,4
311,51020250,0,0,0,0,8
312,79927450,0,0,0,0,3
313,11432290,0,0,0,0,8
314,39335000,0,0,0,0,55
315,11672844,0,0,0,0,3
316,28940000,0,0,0,0,219
317,22071100,0,0,0,0,10
318,65030824,0,0,0,0,3
319,62160000,0,0,0,0,201
320,95650000,0,0,0,0,119
321,44245000,0,0,0,0,285
322,48730000,0,0,0,0,599
323,57550000,0,0,0,0,53
324,14066614,0,0,0,0,3
325,3579110,0,0,0,0,4
326,44970000,0,0,0,0,291
327,74593410,0,0,0,0,5
328,45638000,0,0,0,0,158
329,58970000,0,0,0,0,213
330,11983179,0,0,0,0,3
331,68658000,0,0,0,0,138
332,55190001,0,0,0,0,5
333,77740000,0,0,0,0,19
334,47900000,0,0,0,0,154
335,22795150,0,0,0,3,154
336,49320000,0,0,0,0,103
337,23934690,0,0,0,0,4
338,55398000,0,0,0,0,73
339,5767330,0,0,0,0,5
340,62955000,0,0,0,0,154
341,36730000,0,0,0,0,38
342,44135000,0,0,0,0,61
343,13820000,0,0,0,0,187
344,46300000,0,0,0,0,352
345,48180000,0,0,0,0,228
346,27340520,0,0,0,0,3
347,69660000,0,0,0,0,105
348,58823000,0,0,0,0,80
349,65704000,0,0,0,0,59
350,92274923,0,0,0,0,3
351,33170270,0,0,0,0,3
352,65415000,0,0,0,0,511
353,84320000,0,0,0,0,87
354,13270490,0,0,0,0,5
355,24751600,0,0,0,0,5
356,74961100,0,0,0,0,3
357,69151587,0,0,0,0,3
358,16820861,0,0,0,0,3
359,31360340,0,0,0,0,5
360,44650000,0,0,0,0,51
361,42700000,0,0,0,0,560
362,16720869,0,0,0,0,3
363,39535000,0,0,0,0,53
364,11910000,0,0,0,0,40
365,65066642,0,0,0,0,3
366,13043700,0,0,0,0,4
367,22010010,0,0,0,0,14
368,69630000,0,0,0,0,312
369,68005150,0,0,0,0,7
370,5881110,0,0,0,0,4
371,58322000,0,0,0,0,83
372,62255000,0,0,0,0,229
373,15641268,0,0,0,0,3
374,32223300,0,0,0,0,6
375,91550000,0,0,0,0,7
376,85790000,0,0,0,0,115
377,69049190,0,0,0,0,3
378,13575002,0,0,0,0,3
379,78670000,0,0,0,0,96
380,36218000,0,0,0,0,7
381,52011080,0,0,0,0,7
382,46205000,0,0,0,0,91
383,40415215,0,0,0,0,4
384,62570000,0,0,0,0,241
385,8465010,0,0,0,0,6
386,17498500,0,0,0,0,3
387,49390000,0,0,0,0,110
388,75860000,0,0,6,104,110
389,58280000,0,0,0,0,343
390,75245000,0,0,0,0,24
391,44300000,0,0,0,0,194
392,6785280,0,0,0,0,6
393,40370610,0,0,0,0,6
394,93347205,0,0,0,3,6
395,60821450,0,0,0,6,6
396,17148015,0,0,0,0,3
397,13285424,0,0,0,0,3
398,62215000,0,0,0,0,211
399,78655000,0,0,0,0,133
400,46640000,0,0,0,0,154
401,47630000,0,0,0,0,101
402,58088520,0,0,0,0,7
403,15840000,0,0,0,0,88
404,62810000,0,0,0,0,157
405,7010003,0,0,0,0,3
406,75385000,0,0,0,0,37
407,55120000,0,0,0,0,342
408,39130604,0,0,0,0,3
409,2266030,0,0,0,3,3
410,18470000,0,0,0,0,57
411,14640000,0,0,0,0,219
412,3028020,0,0,0,0,3
413,18720000,0,0,0,0,69
414,60532680,0,0,0,0,3
415,58055240,0,0,0,0,3
416,87890000,0,0,0,0,55
417,17514535,0,0,0,0,3
418,11355240,0,0,0,0,8
419,4372000,0,0,0,0,9
420,55153020,0,0,0,0,7
421,12260000,0,0,0,0,54
422,55530000,0,0,0,0,231
423,52120050,0,0,0,0,9
424,87525000,0,0,0,0,123
425,65625000,0,0,0,0,95
426,57360000,0,0,0,0,177
427,13940000,0,0,0,0,77
428,47600000,0,0,0,0,365
429,89400000,0,0,0,0,73
430,21545230,0,0,0,0,3
431,35690000,0,0,0,13,3
432,83410390,0,0,0,5,3
433,9770080,0,0,0,0,4
434,62960000,0,0,0,0,256
435,69043334,0,0,0,0,8
436,17793604,0,0,0,0,5
437,12120000,0,0,0,0,98
438,57500000,0,0,0,0,294
439,29920000,0,0,0,0,53
440,27580000,0,0,0,0,52
441,47640000,0,0,0,0,237
442,13854562,0,0,0,0,3
443,39300000,0,0,0,0,340
444,27280070,0,0,0,4,340
445,12614240,0,0,0,0,3
446,13207040,0,0,0,0,3
447,86950000,0,0,0,0,12
448,10203504,0,0,0,0,3
449,65470000,0,0,0,0,347
450,17537499,0,0,0,0,5
451,55520000,0,0,0,0,209
452,85509350,0,0,0,0,4
453,57250000,0,0,0,0,80
454,24457590,0,0,0,0,3
455,65700000,0,0,0,0,626
456,11370410,0,0,0,0,5
457,18110402,0,0,0,0,3
458,55560000,0,0,0,0,182
459,46550000,0,0,0,0,210
460,68675000,0,0,0,69,210
461,86854747,0,0,0,0,3
462,11705060,0,0,0,5,3
463,31310670,0,0,0,3,3
464,27320000,0,0,0,0,13
465,27600000,0,0,0,0,214
466,10148482,0,0,0,0,3
467,4883250,0,0,0,0,8
468,8761120,0,0,0,0,3
469,83450000,0,0,0,0,24
470,3717030,0,0,0,0,4
471,18240000,0,0,0,0,194
472,78695000,0,0,0,0,24
473,58338000,0,0,0,0,93
474,35588000,0,0,0,0,160
475,4114100,0,0,0,3,160
476,57445000,0,0,0,0,234
477,40000000,0,0,0,0,230
478,3310000,0,0,0,0,4
479,19600000,0,0,0,0,49
480,59790000,0,0,0,0,59
481,12939677,0,0,0,0,4
482,7111070,0,0,0,0,4
483,26574650,0,0,0,0,4
484,63165000,0,0,0,0,120
485,13756019,0,0,0,0,3
486,37505424,0,0,0,0,3
487,25555821,0,0,0,0,4
488,12381614,0,0,0,0,3
489,22725130,0,0,0,0,3
490,61900280,0,0,0,0,9
491,35580000,0,0,0,0,29
492,48700000,0,0,0,0,619
493,41810825,0,0,0,0,4
494,39780000,0,0,0,0,49
495,72509408,0,0,0,0,3
496,43850000,0,0,0,0,286
497,59400000,0,0,0,0,158
498,32450000,0,0,0,0,102
499,16340000,0,0,0,0,15
500,4848260,0,0,0,0,4
501,6065180,0,0,0,0,3
502,8340010,3,0,0,0,3
503,53370660,0,0,0,0,3
504,17896058,0,0,0,0,3
505,46280000,0,0,0,0,219
506,18070000,0,0,0,0,3
507,18682860,0,0,0,0,3
508,12214210,0,0,0,0,3
509,46438000,0,0,0,0,98
510,20261140,0,0,0,3,98
511,55006470,0,0,0,0,3
512,11488348,0,0,0,0,3
513,57470000,0,0,0,0,20
514,79600011,0,0,0,0,3
515,15936612,0,0,0,0,3
516,1031020,0,0,0,0,4
517,25550570,0,0,0,0,12
518,59300000,0,0,0,169,12
519,65385000,0,0,0,0,119
520,55410000,0,0,0,0,81
521,4129070,0,0,0,0,5
522,58397000,0,0,0,0,66
523,38770000,0,0,0,0,88
524,79013080,0,0,0,0,7
525,39430000,0,0,0,0,145
526,4278040,0,0,0,0,4
527,18230000,0,0,0,0,106
528,54749000,0,0,0,0,12
529,60336730,0,0,0,0,4
530,14910000,0,0,0,0,88
531,68680000,0,0,0,0,273
532,15559657,0,0,0,0,3
533,82840270,0,0,0,0,6
534,85478000,0,0,0,0,24
535,15828000,0,0,0,0,130
536,83880000,0,0,0,0,100
537,44905000,0,0,0,0,67
538,89580000,0,0,0,0,217
539,99573709,0,0,0,0,3
540,53413010,0,0,0,0,6
541,8230800,0,0,0,0,4
542,13061323,0,0,0,0,3
543,15703394,0,0,0,0,4
544,65930000,0,0,0,0,563
545,84320366,0,0,0,0,3
546,76335000,0,0,0,0,63
547,17923226,0,0,0,0,3
548,58690000,0,0,0,0,93
549,57400000,0,0,0,0,110
550,44630000,0,0,0,0,167
551,9810395,0,0,0,0,11
552,75083410,0,0,0,0,3
553,8552250,0,0,0,0,7
554,57910000,0,0,0,0,112
555,10535305,0,0,0,0,3
556,46480000,0,0,0,0,277
557,60685578,0,0,0,0,3
558,60440145,0,0,0,0,3
559,65204000,0,0,0,0,49
560,15045000,0,0,0,0,7
561,78125265,0,0,0,0,3
562,97349630,0,0,0,0,3
563,20799017,0,0,0,0,3
564,85856070,0,0,0,0,4
565,16278682,0,0,0,0,3
566,11325090,0,0,0,5,3
567,62150000,0,0,0,0,208
568,55385000,0,0,0,0,285
569,92459338,0,0,0,0,2
570,91410080,0,0,0,0,6
571,79980000,0,0,0,0,195
572,11243713,0,0,0,0,2
573,69870000,0,0,0,0,151
574,12904340,0,0,0,0,2
575,6622310,0,0,0,0,2
576,89290000,0,0,0,0,104
577,85602130,0,0,0,2,104
578,12330010,0,0,0,0,2
579,59575000,0,0,16,0,2
580,11814438,0,0,2,0,2
581,46165000,0,0,0,0,66
582,18310000,0,0,0,0,79
583,41820700,3,0,0,0,79
584,88860000,0,0,0,0,24
585,3920250,0,0,0,0,2
586,7172080,0,0,0,3,2
587,41308100,0,0,0,0,2
588,45603645,0,0,0,2,2
589,56250000,0,0,0,0,134
590,2866040,0,0,0,0,2
591,78800000,0,0,0,0,95
592,36795000,0,0,0,0,61
593,37980000,0,0,0,0,110
594,60741040,0,0,0,0,3
595,40325350,0,0,0,0,3
596,62480000,0,0,0,0,112
597,28949589,0,0,0,0,2
598,49015380,0,0,0,0,10
599,3683000,0,0,0,0,3
600,57540000,0,0,0,0,153
601,56515030,0,0,0,0,3
602,39403532,0,0,0,0,2
603,68450000,0,0,0,0,188
604,14402275,0,0,0,0,3
605,44378672,0,0,0,0,2
606,55660000,0,0,0,0,290
607,62700000,0,0,170,0,290
608,68638000,0,0,0,0,368
609,94960712,0,0,0,0,2
610,76136043,0,0,0,0,2
611,49500000,0,0,0,0,484
612,24417580,0,0,0,0,5
